,gameId,win,diffLevel,diffKill,diffTower,diffDragon,diffWinrate
1860,4158705225,0,2,1,-1,0,6.76
1861,4157496843,1,1,0,1,-2,-10.28
1862,4157502474,0,0,-1,0,-2,13.78
1863,4157407206,0,-1,-7,-1,1,0.71
1864,4157337024,0,-6,-14,-3,-2,-5.05
1865,4157304741,0,-3,-9,-1,-2,-4.9
1866,4157184353,0,-3,-9,-2,-2,-1.18
1867,4156465740,0,-11,-37,-11,1,2.64
1868,4149893812,0,-1,-5,-1,-1,19.25
1869,4149063461,0,1,1,1,2,-9.21
1870,4148169325,0,5,2,3,-2,-12.42
1871,4148138251,0,1,-3,-1,-2,-10.25
1872,4147461093,0,0,1,1,0,3.7
1873,4147339453,0,-3,-7,-2,-2,-9.94
1874,4145699667,1,-1,3,-1,-1,-9.3
1875,4141492228,1,2,4,0,0,4.35
1876,4141006798,0,0,-11,-7,-2,-10.77
1877,4140983194,0,-6,0,0,0,3.69
1878,4140181683,1,-3,-5,0,0,9.69
1879,4139774959,1,1,1,0,-1,13.13
1880,4139596906,0,2,3,1,0,0.12
1881,4139501410,0,0,1,0,2,-1.92
1882,4256120766,0,0,5,0,1,0.4
1883,4255957824,0,3,6,0,0,0.03
1884,4255078471,0,-7,-10,-3,-1,-0.22
1885,4254883337,0,1,0,1,2,4.75
1886,4254213155,0,1,6,0,1,-0.01
1887,4252970570,1,0,2,0,-1,-4.63
1888,4252886523,1,-1,-3,1,-1,-1.51
1889,4252903137,1,4,6,1,-1,-9.87
1890,4250060042,1,0,2,-1,-1,-3.82
1891,4249364679,1,-3,-3,-2,0,-11.38
1892,4249323307,0,-5,-8,-4,0,-7.8
1893,4247352238,1,2,5,1,0,-2.62
1894,4245640096,1,-2,1,1,2,-2.08
1895,4244692425,1,4,5,-2,0,-3.09
1896,4242010060,1,-3,-4,0,0,-1.15
1897,4241505291,1,1,2,1,1,-8.78
1898,4239316767,1,1,1,0,-1,-8.66
1899,4238909971,1,5,15,1,2,3.64
1900,4238174063,0,-2,-8,-2,0,-0.25
1901,4237803796,0,-4,-7,-1,-1,1.64
1902,4236155339,0,-5,-3,-2,0,-10.1
1903,4236126175,0,0,-2,-1,-1,-0.59
1904,4235981063,0,-2,4,1,-2,10.32
1905,4232737396,1,-2,0,1,0,5.31
1906,4232595490,0,-2,-6,-2,-1,6.15
1907,4232506362,1,3,7,-1,1,1.46
1908,4231512754,1,1,3,-1,0,5.11
1909,4231415437,0,-3,-4,0,0,-6
1910,4244309239,0,-4,-7,-2,-2,7.38
1911,4241584340,0,-4,-10,-1,-2,-4.75
1912,4241281823,0,-2,4,-1,0,-0.84
1913,4240987162,0,-3,0,0,0,4.53
1914,4240083534,0,-4,-4,-1,-2,27.14
1915,4229135546,0,-8,-12,-4,-1,0.17
1916,4228892574,0,-2,-4,-1,0,7.68
1917,4223943647,1,1,-1,0,0,6.9
1918,4206197883,0,-7,-13,-3,-2,-12.69
1919,4203686980,1,0,5,3,0,12.8
1920,4194072304,0,-3,-1,1,-1,9.99
1921,4190297275,1,3,4,0,2,1.31
1922,4187642592,1,2,2,1,0,28.47
1923,4185008597,1,5,10,3,1,-8.06
1924,4180317917,0,2,4,0,-2,-7.04
1925,4175218190,1,7,14,5,0,3.13
1926,4171110992,1,4,7,-1,1,3.85
1927,4159451427,0,-3,-5,-2,1,6.65
1928,4146353475,1,2,2,0,-1,5.13
1929,4146274849,0,2,8,0,0,-0.65
1930,4146100593,1,3,5,1,0,-3.89
1931,4145772258,1,4,7,0,1,-18.67
1932,4145350197,0,-4,-10,-2,-1,-3.07
1933,4145112556,1,6,11,0,1,-19.31
1934,4144866983,0,-1,-2,-1,0,-14.66
1935,4144318507,0,1,1,-1,2,7.33
1936,4144351141,1,8,16,-2,2,-14.2
1937,4142159257,1,7,13,1,0,11.92
1938,4141994211,1,-4,-7,-2,-1,-24.96
1939,4141337929,1,10,15,5,1,-3.34
1940,4140863327,1,3,6,3,2,-11.08
1941,4140772883,0,-2,-5,-1,-2,6.28
1942,4139859200,0,2,-1,1,-1,4.9
1943,4139571172,1,1,3,1,-1,-1.17
1944,4139296064,1,4,4,0,2,-5.25
1945,4139032648,1,-2,-5,1,2,5.31
1946,4138573721,1,2,1,-1,-1,-4.1
1947,4138085605,1,3,5,-1,0,6.63
1948,4138037159,0,-3,-1,0,-2,1.78
1949,4137697949,0,-2,-2,0,-1,5.38
1950,4137573307,1,-3,-6,0,-2,-2.54
1951,4137445850,0,-3,-9,-4,-2,-18.64
1952,4137248202,0,-2,-4,-3,-1,-16.91
1953,4136956040,1,2,9,-1,1,-1.85
1954,4136532659,1,6,9,2,-1,4.49
1955,4136323995,1,-2,-1,0,-2,3.86
1956,4136187162,0,-1,-1,0,-2,-6.28
1957,4136077922,0,0,-1,0,1,-7.31
1958,4136102174,0,-5,-6,-1,-2,-12.66
1959,4135539540,1,0,0,1,2,-3.9
1960,4135520435,0,-4,-14,-2,-1,13.39
1961,4135394043,1,-4,-9,-2,-2,9.91
1962,4134822881,0,-1,-2,0,-1,-7.71
